epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	2639.1463	6.8916	|	2.0159	-1.8124	11.4754	0.0000	|	3.1824	-59.8825	8.8000	0.0000	|  Best result at epoch 0
1	9.1185	4.1151	|	1.4268	27.9396	33.6066	0.0000	|	2.4657	-23.8736	20.0000	0.0000	|  Best result at epoch 1
2	6.0426	3.4892	|	1.3705	30.7815	37.7049	0.0000	|	2.2237	-11.7172	24.0000	0.0000	|  Best result at epoch 2
3	6.4210	3.4246	|	1.3655	31.0351	34.4262	0.0000	|	2.1945	-10.2488	25.6000	0.0000	|  Best result at epoch 3
4	5.3880	3.1603	|	1.3753	30.5414	27.8689	0.0000	|	2.0002	-0.4883	32.8000	0.0000	|  Best result at epoch 3
5	5.5835	3.2338	|	1.3598	31.3216	31.9672	0.0000	|	2.0881	-4.9058	29.6000	0.0000	|  Best result at epoch 5
6	5.6965	3.7863	|	1.3858	30.0099	36.0656	0.0000	|	2.3423	-17.6757	21.6000	0.0000	|  Best result at epoch 5
7	5.4798	3.1387	|	1.3854	30.0298	27.0492	0.0000	|	1.9721	0.9258	29.6000	0.0000	|  Best result at epoch 5
8	5.7177	3.4468	|	1.3610	31.2635	36.0656	0.0000	|	2.2028	-10.6669	25.6000	0.0000	|  Best result at epoch 5
9	5.3493	3.7720	|	1.3827	30.1664	36.8852	0.0000	|	2.3323	-17.1720	22.4000	0.0000	|  Best result at epoch 5
10	5.2858	3.4405	|	1.5664	20.8884	29.5082	0.0000	|	1.8837	5.3645	32.0000	0.0000	|  Best result at epoch 5
11	5.7195	3.1808	|	1.3505	31.7948	31.1475	0.0000	|	2.0566	-3.3217	30.4000	0.0000	|  Best result at epoch 11
12	5.3629	3.1601	|	1.3496	31.8375	30.3279	0.0000	|	2.0362	-2.2979	30.4000	0.0000	|  Best result at epoch 12
13	5.4623	3.5554	|	1.3625	31.1892	38.5246	0.0000	|	2.2405	-12.5597	24.0000	0.0000	|  Best result at epoch 12
14	4.9804	3.0936	|	1.3549	31.5703	27.8689	0.0000	|	1.9774	0.6553	30.4000	0.0000	|  Best result at epoch 12
15	5.6169	3.5991	|	1.3641	31.1093	39.3443	0.0000	|	2.2618	-13.6299	23.2000	0.0000	|  Best result at epoch 12
16	5.1395	3.0804	|	1.3852	30.0430	26.2295	0.0000	|	1.9268	3.1990	29.6000	0.0000	|  Best result at epoch 12
17	4.9319	3.6797	|	1.3714	30.7378	36.8852	0.0000	|	2.2765	-14.3678	23.2000	0.0000	|  Best result at epoch 12
18	4.8866	3.6474	|	1.6347	17.4388	30.3279	0.0000	|	1.8701	6.0500	32.0000	0.0000	|  Best result at epoch 12
19	4.9982	3.0571	|	1.3728	30.6684	28.6885	0.0000	|	1.9390	2.5871	31.2000	0.0000	|  Best result at epoch 12
20	4.8079	4.8816	|	1.5911	19.6441	26.2295	0.0000	|	2.6485	-33.0572	12.0000	0.0000	|  Best result at epoch 12
21	6.1196	3.0684	|	1.3389	32.3795	29.5082	0.0000	|	1.9839	0.3313	30.4000	0.0000	|  Best result at epoch 21
22	4.5181	3.2610	|	1.5184	23.3118	28.6885	0.0000	|	1.8612	6.4946	35.2000	0.0000	|  Best result at epoch 21
23	4.8106	3.0003	|	1.3977	29.4115	27.0492	0.0000	|	1.8889	5.1040	34.4000	0.0000	|  Best result at epoch 21
24	4.7871	3.2698	|	1.5276	22.8483	29.5082	0.0000	|	1.8402	7.5519	36.0000	0.0000	|  Best result at epoch 21
