epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	1753.7527	2.6611	|	1.2530	26.2216	21.7262	0.0000	|	1.2203	25.6461	24.9258	0.0000	|  Best result at epoch 0
1	3.3252	2.2675	|	1.1634	31.4977	27.9762	0.0000	|	1.1167	31.9556	30.8605	0.0000	|  Best result at epoch 1
2	3.1380	1.9809	|	1.1562	31.9193	33.9286	0.0000	|	1.0867	33.7831	37.0920	0.0000	|  Best result at epoch 2
3	3.1097	1.9639	|	1.1581	31.8115	32.7381	0.0000	|	1.0874	33.7421	36.7953	0.0000	|  Best result at epoch 2
4	3.0397	2.6038	|	1.4032	17.3745	29.4643	0.0000	|	1.3499	17.7500	30.5638	0.0000	|  Best result at epoch 2
5	3.0178	2.0776	|	1.1281	33.5762	29.1667	0.0000	|	1.0862	33.8186	33.8279	0.0000	|  Best result at epoch 5
6	3.0341	1.8819	|	1.1344	33.2053	39.2857	0.0000	|	1.0706	34.7673	42.4332	0.0000	|  Best result at epoch 5
7	2.9703	3.0059	|	1.3360	21.3331	11.3095	0.0000	|	1.3604	17.1071	12.4629	0.0000	|  Best result at epoch 5
8	2.9331	1.8456	|	1.1229	33.8788	38.0952	0.0000	|	1.0545	35.7480	41.8398	0.0000	|  Best result at epoch 8
9	2.6436	3.2570	|	1.3849	18.4546	7.4405	0.0000	|	1.4140	13.8431	6.2315	0.0000	|  Best result at epoch 8
10	3.0894	1.9225	|	1.1210	33.9955	36.9048	0.0000	|	1.0584	35.5118	44.5104	0.0000	|  Best result at epoch 10
11	2.8759	3.0155	|	1.5046	11.4039	28.2738	0.0000	|	1.4367	12.4579	29.3769	0.0000	|  Best result at epoch 10
12	3.2122	3.3826	|	1.6101	5.1960	27.9762	0.0000	|	1.5634	4.7400	25.2226	0.0000	|  Best result at epoch 10
13	3.3626	1.8102	|	1.1024	35.0868	32.1429	0.0000	|	1.0320	37.1172	41.5430	0.0000	|  Best result at epoch 13
14	2.9627	2.8717	|	1.3110	22.8081	21.4286	0.0000	|	1.3396	18.3781	25.5193	0.0000	|  Best result at epoch 13
15	2.6585	2.2978	|	1.1652	31.3896	24.1071	0.0000	|	1.1691	28.7661	28.1899	0.0000	|  Best result at epoch 13
