epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	1286.0137	12.6465	|	2.5484	-2.5798	25.0000	0.0000	|	2.1108	17.6763	27.1084	0.0000	|  Best result at epoch 0
1	12.7869	11.7097	|	2.4027	3.2857	24.3902	0.0000	|	1.9653	23.3507	29.5181	0.0000	|  Best result at epoch 1
2	11.6493	7.7936	|	2.0266	18.4214	19.5122	0.0000	|	1.6377	36.1301	29.5181	0.0000	|  Best result at epoch 2
3	8.5721	6.4297	|	2.0318	18.2154	19.5122	0.0000	|	1.8171	29.1317	21.0843	0.0000	|  Best result at epoch 2
4	6.9662	6.3193	|	2.0275	18.3862	19.5122	0.0000	|	1.8398	28.2472	19.8795	0.0000	|  Best result at epoch 2
5	7.6065	6.2703	|	1.9891	19.9322	18.9024	0.0000	|	1.7998	29.8055	19.8795	0.0000	|  Best result at epoch 5
6	7.6884	6.4366	|	1.9381	21.9845	20.7317	0.0000	|	1.7093	33.3366	21.0843	0.0000	|  Best result at epoch 6
7	7.2606	5.9825	|	2.0361	18.0421	20.7317	0.0000	|	1.9448	24.1517	17.4699	0.0000	|  Best result at epoch 6
8	7.0529	5.9050	|	2.0820	16.1912	21.9512	0.0000	|	2.0507	20.0227	16.2651	0.0000	|  Best result at epoch 6
9	6.8925	6.4617	|	1.8875	24.0239	23.7805	0.0000	|	1.6709	34.8356	21.0843	0.0000	|  Best result at epoch 9
10	6.5718	5.8347	|	1.8720	24.6466	20.7317	0.0000	|	1.7794	30.6034	19.2771	0.0000	|  Best result at epoch 10
11	6.6087	6.4494	|	1.8330	26.2159	31.0976	0.0000	|	1.6519	35.5761	25.3012	0.0000	|  Best result at epoch 11
12	6.6029	6.1329	|	1.8007	27.5152	28.6585	0.0000	|	1.6657	35.0365	20.4819	0.0000	|  Best result at epoch 12
13	6.4881	5.5207	|	1.7957	27.7171	26.2195	0.0000	|	1.7916	30.1250	19.2771	0.0000	|  Best result at epoch 13
14	5.6935	5.3035	|	1.8270	26.4594	27.4390	0.0000	|	1.8827	26.5717	19.2771	0.0000	|  Best result at epoch 13
15	5.9843	5.1905	|	1.8174	26.8440	30.4878	0.0000	|	1.9173	25.2231	19.8795	0.0000	|  Best result at epoch 13
16	6.0789	6.5440	|	1.8028	27.4318	24.3902	0.0000	|	1.5856	38.1607	30.1205	0.0000	|  Best result at epoch 13
17	6.2211	5.3055	|	1.9501	21.5034	25.0000	0.0000	|	2.2699	11.4723	13.2530	0.0000	|  Best result at epoch 13
18	6.8172	5.1379	|	1.7793	28.3794	26.8293	0.0000	|	1.8395	28.2586	21.6867	0.0000	|  Best result at epoch 18
19	5.6880	6.2233	|	1.7684	28.8173	29.2683	0.0000	|	1.5876	38.0834	26.5060	0.0000	|  Best result at epoch 19
20	5.4342	5.2720	|	1.9518	21.4352	20.7317	0.0000	|	2.2444	12.4687	13.2530	0.0000	|  Best result at epoch 19
21	6.9084	4.9103	|	1.7978	27.6334	28.6585	0.0000	|	1.9195	25.1400	18.0723	0.0000	|  Best result at epoch 19
22	5.7235	6.6432	|	1.8100	27.1412	25.6098	0.0000	|	1.5621	39.0761	30.7229	0.0000	|  Best result at epoch 19
23	4.8263	4.8954	|	1.6968	31.6974	31.7073	0.0000	|	1.7664	31.1100	21.0843	0.0000	|  Best result at epoch 23
24	6.8405	5.7933	|	1.7475	29.6576	29.8780	0.0000	|	1.6185	36.8764	25.9036	0.0000	|  Best result at epoch 23
