epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	1407.7715	13.0029	|	2.5460	19.5715	34.4444	0.0000	|	2.1893	28.3147	43.3628	0.0000	|  Best result at epoch 0
1	20.1737	11.6469	|	2.3953	24.3322	37.1111	0.0000	|	2.0368	33.3093	40.2655	0.0000	|  Best result at epoch 1
2	18.9546	10.4303	|	2.4969	21.1216	35.3333	0.0000	|	2.2573	26.0877	40.7080	0.0000	|  Best result at epoch 1
3	18.7019	11.1814	|	2.3746	24.9877	36.4444	0.0000	|	2.0153	34.0124	40.7080	0.0000	|  Best result at epoch 3
4	18.1714	10.4798	|	2.6261	17.0411	33.7778	0.0000	|	2.4483	19.8360	31.1947	0.0000	|  Best result at epoch 3
5	17.9430	10.9282	|	2.3733	25.0263	33.7778	0.0000	|	2.0437	33.0827	43.3628	0.0000	|  Best result at epoch 5
6	17.7864	11.9333	|	2.9244	7.6181	27.1111	0.0000	|	2.8071	8.0859	25.6637	0.0000	|  Best result at epoch 5
7	18.1579	10.9974	|	2.7489	13.1614	30.0000	0.0000	|	2.6172	14.3051	29.2035	0.0000	|  Best result at epoch 5
8	17.2472	10.5282	|	2.6776	15.4143	33.1111	0.0000	|	2.5247	17.3318	32.7434	0.0000	|  Best result at epoch 5
9	17.5392	9.8828	|	2.3484	25.8150	35.7778	0.0000	|	2.1036	31.1218	38.2743	0.0000	|  Best result at epoch 9
10	14.9085	16.3712	|	2.8780	9.0847	28.4444	0.0000	|	2.6221	14.1451	27.8761	0.0000	|  Best result at epoch 9
11	16.4039	11.9847	|	2.4508	22.5808	30.6667	0.0000	|	2.1791	28.6505	33.1858	0.0000	|  Best result at epoch 9
12	16.5208	9.7187	|	2.3907	24.4775	34.8889	0.0000	|	2.1853	28.4456	37.6106	0.0000	|  Best result at epoch 9
13	14.1947	13.5787	|	2.6098	17.5564	29.3333	0.0000	|	2.4377	20.1821	30.7522	0.0000	|  Best result at epoch 9
14	14.2119	11.8058	|	2.4508	22.5798	29.7778	0.0000	|	2.2637	25.8808	30.5310	0.0000	|  Best result at epoch 9
15	14.4654	9.8187	|	2.3557	25.5830	36.4444	0.0000	|	2.1560	29.4057	38.0531	0.0000	|  Best result at epoch 9
16	12.8407	10.0547	|	2.3783	24.8700	36.8889	0.0000	|	2.1868	28.3973	39.6018	0.0000	|  Best result at epoch 9
17	14.6136	10.0592	|	2.4841	21.5287	34.4444	0.0000	|	2.3476	23.1311	35.1770	0.0000	|  Best result at epoch 9
18	12.9075	12.2781	|	2.4719	21.9113	30.8889	0.0000	|	2.2757	25.4863	30.9735	0.0000	|  Best result at epoch 9
19	12.3979	10.6773	|	2.5696	18.8258	33.7778	0.0000	|	2.3768	22.1776	35.3982	0.0000	|  Best result at epoch 9
20	12.5934	12.8751	|	2.9930	5.4512	28.8889	0.0000	|	2.8507	6.6600	29.4248	0.0000	|  Best result at epoch 9
21	12.7510	10.7821	|	2.5669	18.9122	33.5556	0.0000	|	2.3789	22.1067	36.0619	0.0000	|  Best result at epoch 9
22	12.6256	12.3672	|	2.5161	20.5175	30.0000	0.0000	|	2.3980	21.4820	26.1062	0.0000	|  Best result at epoch 9
23	12.8112	11.6331	|	2.6569	16.0682	28.2222	0.0000	|	2.4282	20.4930	33.6283	0.0000	|  Best result at epoch 9
24	11.5536	11.2698	|	2.4890	21.3720	31.5556	0.0000	|	2.3577	22.8020	30.5310	0.0000	|  Best result at epoch 9
25	12.0707	10.8142	|	2.6131	17.4533	31.7778	0.0000	|	2.4152	20.9186	33.6283	0.0000	|  Best result at epoch 9
26	11.2289	9.9376	|	2.3885	24.5489	36.4444	0.0000	|	2.2060	27.7684	38.9381	0.0000	|  Best result at epoch 9
27	11.1179	9.9612	|	2.4479	22.6695	34.8889	0.0000	|	2.2703	25.6630	36.9469	0.0000	|  Best result at epoch 9
28	10.5561	11.0914	|	2.3948	24.3491	33.1111	0.0000	|	2.2766	25.4566	31.1947	0.0000	|  Best result at epoch 9
29	11.4622	10.5818	|	2.3804	24.8043	32.6667	0.0000	|	2.2560	26.1310	34.5133	0.0000	|  Best result at epoch 9
30	11.3493	10.5548	|	2.4706	21.9551	33.7778	0.0000	|	2.3550	22.8909	35.1770	0.0000	|  Best result at epoch 9
31	9.8634	11.3887	|	2.4876	21.4160	33.3333	0.0000	|	2.3767	22.1781	33.1858	0.0000	|  Best result at epoch 9
