epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	2873.9576	5.3407	|	2.0182	-49.0389	4.1667	0.0000	|	2.1169	-43.5135	5.1020	0.0000	|  Best result at epoch 0
1	5.2022	4.7588	|	1.8699	-38.0862	15.6250	0.0000	|	1.9697	-33.5326	14.2857	0.0000	|  Best result at epoch 1
2	4.8087	3.9998	|	1.6833	-24.3018	15.6250	0.0000	|	1.7861	-21.0864	20.4082	0.0000	|  Best result at epoch 2
3	3.8043	2.5101	|	1.3200	2.5197	10.4167	0.0000	|	1.4440	2.1033	14.2857	0.0000	|  Best result at epoch 3
4	2.9685	1.8758	|	1.1122	17.8678	30.2083	0.0000	|	1.2732	13.6855	21.4286	0.0000	|  Best result at epoch 4
5	2.7362	1.9351	|	1.1330	16.3342	25.0000	0.0000	|	1.2886	12.6379	18.3673	0.0000	|  Best result at epoch 4
6	2.8706	1.7984	|	1.0843	19.9314	33.3333	0.0000	|	1.2510	15.1908	24.4898	0.0000	|  Best result at epoch 6
7	2.4771	1.5916	|	1.0065	25.6754	39.5833	0.0000	|	1.1876	19.4872	36.7347	0.0000	|  Best result at epoch 7
8	2.3800	1.4021	|	0.9138	32.5171	47.9167	0.0000	|	1.1046	25.1161	40.8163	0.0000	|  Best result at epoch 8
9	2.6791	2.0158	|	1.1594	14.3803	18.7500	0.0000	|	1.3107	11.1404	14.2857	0.0000	|  Best result at epoch 8
10	2.2742	1.5592	|	0.9948	26.5380	41.6667	0.0000	|	1.1821	19.8613	37.7551	0.0000	|  Best result at epoch 8
11	2.1318	1.6097	|	1.0149	25.0553	37.5000	0.0000	|	1.2009	18.5869	36.7347	0.0000	|  Best result at epoch 8
12	2.3378	1.2985	|	0.8544	36.9025	53.1250	0.0000	|	1.0515	28.7154	42.8571	0.0000	|  Best result at epoch 12
13	2.1907	1.8095	|	1.0877	19.6777	26.0417	0.0000	|	1.2608	14.5226	19.3878	0.0000	|  Best result at epoch 12
14	2.3045	1.3412	|	0.8858	34.5844	50.0000	0.0000	|	1.0904	26.0762	40.8163	0.0000	|  Best result at epoch 12
15	1.6889	1.3284	|	0.8803	34.9923	52.0833	0.0000	|	1.0883	26.2210	40.8163	0.0000	|  Best result at epoch 12
16	1.8532	1.5394	|	0.9851	27.2522	43.7500	0.0000	|	1.1778	20.1501	38.7755	0.0000	|  Best result at epoch 12
17	1.9462	1.2942	|	0.8546	36.8909	57.2917	0.0000	|	1.0572	28.3291	44.8980	0.0000	|  Best result at epoch 12
18	1.7702	1.3391	|	0.8906	34.2298	52.0833	0.0000	|	1.0926	25.9258	40.8163	0.0000	|  Best result at epoch 12
19	1.7141	1.3102	|	0.8518	37.0955	57.2917	0.0000	|	1.0524	28.6537	43.8776	0.0000	|  Best result at epoch 19
20	2.1442	1.4391	|	0.9443	30.2666	50.0000	0.0000	|	1.1443	22.4233	40.8163	0.0000	|  Best result at epoch 19
21	1.7131	1.3662	|	0.9084	32.9208	50.0000	0.0000	|	1.1148	24.4227	40.8163	0.0000	|  Best result at epoch 19
