epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
0	548.7682	8.4371	|	2.3011	-4.7259	20.1754	0.0000	|	1.8763	15.1293	31.0145	0.0000	|  Best result at epoch 0
1	7.0189	7.4972	|	2.2407	-1.9781	23.3918	0.0000	|	1.8969	14.1943	27.8261	0.0000	|  Best result at epoch 1
2	7.0376	6.6733	|	2.2096	-0.5652	24.8538	0.0000	|	2.0256	8.3735	22.0290	0.0000	|  Best result at epoch 2
3	6.3512	6.8981	|	2.2075	-0.4674	24.2690	0.0000	|	1.9658	11.0772	26.6667	0.0000	|  Best result at epoch 3
4	6.5964	7.0195	|	2.2102	-0.5919	23.3918	0.0000	|	1.9588	11.3961	27.2464	0.0000	|  Best result at epoch 3
5	5.8309	8.7725	|	2.3101	-5.1373	21.0526	0.0000	|	1.8399	16.7732	30.7246	0.0000	|  Best result at epoch 3
6	6.0895	8.2833	|	2.2554	-2.6476	20.7602	0.0000	|	1.8451	16.5403	30.7246	0.0000	|  Best result at epoch 3
7	6.4038	7.0750	|	2.2073	-0.4609	20.7602	0.0000	|	1.9582	11.4237	26.6667	0.0000	|  Best result at epoch 7
8	6.1546	11.6738	|	2.6429	-20.2826	18.1287	0.0000	|	2.0988	5.0613	26.3768	0.0000	|  Best result at epoch 7
9	6.2521	7.3164	|	2.3411	-6.5503	27.1930	0.0000	|	2.7031	-22.2712	22.0290	0.0000	|  Best result at epoch 7
10	6.5688	6.3828	|	2.1943	0.1339	23.9766	0.0000	|	2.1266	3.8049	18.5507	0.0000	|  Best result at epoch 10
11	5.9365	9.4078	|	2.3845	-8.5250	26.3158	0.0000	|	1.8607	15.8351	32.4638	0.0000	|  Best result at epoch 10
12	6.6994	9.8753	|	2.4408	-11.0864	31.2865	0.0000	|	1.9199	13.1536	33.6232	0.0000	|  Best result at epoch 10
13	5.4882	6.5034	|	2.2151	-0.8130	25.7310	0.0000	|	2.4812	-12.2326	20.2899	0.0000	|  Best result at epoch 10
14	5.7556	11.7267	|	2.6466	-20.4537	19.2982	0.0000	|	2.0897	5.4756	26.0870	0.0000	|  Best result at epoch 10
15	5.5317	6.2490	|	2.1007	4.3918	25.7310	0.0000	|	2.0183	8.7029	20.8696	0.0000	|  Best result at epoch 15
16	5.0613	8.9818	|	2.3367	-6.3499	26.0234	0.0000	|	1.8956	14.2539	29.2754	0.0000	|  Best result at epoch 15
17	4.7656	10.2776	|	2.5084	-14.1635	19.8830	0.0000	|	2.0586	6.8792	21.4493	0.0000	|  Best result at epoch 15
18	4.8447	6.1869	|	2.0550	6.4711	24.5614	0.0000	|	2.0310	8.1286	22.3188	0.0000	|  Best result at epoch 18
19	4.8994	6.0169	|	2.0695	5.8146	26.9006	0.0000	|	2.0287	8.2327	22.6087	0.0000	|  Best result at epoch 18
20	4.4780	6.8308	|	2.1061	4.1471	22.5146	0.0000	|	1.9359	12.4293	24.9275	0.0000	|  Best result at epoch 18
21	4.5224	5.8367	|	2.0271	7.7434	24.2690	0.0000	|	2.1069	4.6960	22.0290	0.0000	|  Best result at epoch 21
22	4.3536	5.7530	|	1.9881	9.5194	27.4854	0.0000	|	2.0859	5.6451	20.5797	0.0000	|  Best result at epoch 22
23	4.2165	9.6253	|	2.4169	-9.9965	20.4678	0.0000	|	2.0016	9.4596	24.0580	0.0000	|  Best result at epoch 22
24	4.3715	5.8842	|	1.9726	10.2219	33.6257	0.0000	|	2.2905	-3.6087	24.6377	0.0000	|  Best result at epoch 24
25	3.9265	8.0555	|	2.1926	0.2119	28.0702	0.0000	|	1.9984	9.6058	25.5072	0.0000	|  Best result at epoch 24
26	4.0720	5.7679	|	1.9561	10.9731	29.5322	0.0000	|	2.1929	0.8076	23.7681	0.0000	|  Best result at epoch 26
27	3.6104	6.6192	|	2.0176	8.1749	28.0702	0.0000	|	2.0541	7.0832	26.9565	0.0000	|  Best result at epoch 26
28	3.9662	5.5954	|	1.9925	9.3181	27.1930	0.0000	|	2.1515	2.6791	25.2174	0.0000	|  Best result at epoch 26
29	3.6467	5.9755	|	1.9694	10.3691	28.0702	0.0000	|	2.0064	9.2414	24.9275	0.0000	|  Best result at epoch 26
30	3.6839	6.7487	|	2.0092	8.5563	29.8246	0.0000	|	2.0103	9.0647	24.9275	0.0000	|  Best result at epoch 26
31	3.3702	7.3466	|	2.1086	4.0337	29.8246	0.0000	|	1.9556	11.5399	26.9565	0.0000	|  Best result at epoch 26
32	3.8211	6.2843	|	1.9821	9.7898	30.4094	0.0000	|	2.0572	6.9456	26.3768	0.0000	|  Best result at epoch 26
33	3.3248	8.5167	|	2.2659	-3.1278	25.1462	0.0000	|	2.1455	2.9524	22.3188	0.0000	|  Best result at epoch 26
34	3.6391	6.3291	|	1.9720	10.2494	30.7018	0.0000	|	2.0392	7.7596	25.5072	0.0000	|  Best result at epoch 26
35	3.6912	6.0015	|	1.9867	9.5808	25.7310	0.0000	|	2.0253	8.3856	24.6377	0.0000	|  Best result at epoch 26
36	3.2307	5.7565	|	1.9434	11.5533	29.2398	0.0000	|	2.0781	5.9995	26.9565	0.0000	|  Best result at epoch 36
37	3.1319	7.3068	|	2.0780	5.4236	29.2398	0.0000	|	1.9249	12.9314	27.5362	0.0000	|  Best result at epoch 36
38	3.0247	6.7396	|	2.0086	8.5839	32.7485	0.0000	|	2.1513	2.6899	26.6667	0.0000	|  Best result at epoch 36
