Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Points),Custom field (Affected services),Custom field (Author),Custom field (Author)Id,Custom field (Bug Category),Custom field (Bug Category),Custom field (Bug Root Cause),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Clockwork Timer),Custom field (Content type),Custom field (Developer),Custom field (Developer)Id,Custom field (Development),Custom field (Due Date),Custom field (Epic Link),Custom field (Estimated Hours),Custom field (Feature),Custom field (Feature),Custom field (Feature),Custom field (Fix In Build),Custom field (Found Phase),Custom field (Found in Build),Custom field (Impact),Custom field (Issue color),Custom field (Mockup),Custom field (Publication date),Custom field (Pull requests),Custom field (Rank),Custom field (Report Story Points),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Custom field (Skill),Custom field (Skill),Custom field (Skill),Custom field (Skill),Custom field (Skill),Custom field (Skill),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Tester),Custom field (Tester)Id,Custom field (Time to first response),Custom field (Time to resolution),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category
Tasks after Wallet Balance Code Inspection,KANOO-5690,31575,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,Quoi Vo,5f6073adbdb0780070018370,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,28/Jul/21 3:45 PM,28/Jul/21 3:51 PM,28/Jul/21 5:39 PM,,,,,,,,,,,0,Kanoo_Urgency_Taskforce,,"Below are works that we to do after the review section: [https://kardsys.atlassian.net/browse/KANOO-5513|https://kardsys.atlassian.net/browse/KANOO-5513|smart-link] 

# Run test and report the performance
## 500 concurrence payment to one Merchant, report result on how long would it take, active connection pool, service CPU, db CPU
## 500 concurrence payment to different Merchant, report result on how long would it take, active connection pool, service CPU, db CPU
## Increase to 1000, 100k, 1m for both case #a and #b.",,User ,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-5513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},28/Jul/21 12:00 AM,KANOO-4909,,,,,,,,,,,,,2|i00epb:,,,,,,,,,,,,Kanoo Taskforce - Sprint 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[BE] Kanoo App - Kanoo User - Purchase Products with Linked Credit Card,KANOO-5689,31574,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,High,,,,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,28/Jul/21 3:43 PM,28/Jul/21 3:47 PM,28/Jul/21 5:39 PM,,,,,,,,,,,0,,,Follow: [https://kardsys.atlassian.net/browse/KANOO-4969|https://kardsys.atlassian.net/browse/KANOO-4969|smart-link] ,,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-4969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Jul/21 3:43 PM;557058:3c9d0205-242e-4af3-be20-9293b7a3ba27;image-20210620-142928.png;https://kardsys.atlassian.net/secure/attachment/37809/image-20210620-142928.png,,,,,,,,,,,,,,,,,,,,,,,,,{},,KANOO-4965,,,,,,,,,,,,,2|hzwwke:yqh8yk8zx,,,,,,Backend,,,,,,Kanoo Sprint 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[ARM Merchant] - SDE Merchant - Expand the expiration date for ARM package,KANOO-5679,31558,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,28/Jul/21 9:45 AM,28/Jul/21 9:54 AM,28/Jul/21 5:31 PM,,,,,,,,,,,0,,,"*Acceptance Criteria*

* Currently, SDE merchants are using ARM Package, Diamond Elite within 6 months. The expiration will be expanded to ten years. 
* This is only for SDE Merchants.
* Ensure the Expiry Date column in Merchant Account page will reflect expiry date correcly",,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,SDE-17,,,,,,,,,,,,,2|i00elj:,,,,,,,,,,,,Kanoo Sprint 31 - Kanoo Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[BE] KGP App - Push Notification for POS Device,KANOO-5676,31554,Story,Resolved,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,High,,dao ngoc duy tan,5e8c33ed6c8ec30b8ac87a95,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,28/Jul/21 9:26 AM,28/Jul/21 3:02 PM,28/Jul/21 5:39 PM,,,S31_Milestone 1,,,,,,,,0,,,* Handle the ability to push notification for POS Device (mobile),,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,;28/Jul/21 2:59 PM;dat.bui;14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,KANOO-5223,,,,,,,,,,,,http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10735,2|hzx84c:,,,,,,,,,,,,Kanoo Sprint 31 - Kanoo Team,,,,,,,,,,,,,,28/Jul/21 9:28 AM;557058:3c9d0205-242e-4af3-be20-9293b7a3ba27;[~accountid:557058:35a5e6b4-4353-4dce-a14f-85faef20f6cb] [~accountid:5e8c33ed6c8ec30b8ac87a95] ,,,,,,,,,,,,,,,,,,,,,In Progress
POS Receipt - Add QR Code for refund purpose,KANOO-5670,31539,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,27/Jul/21 4:30 PM,27/Jul/21 4:30 PM,28/Jul/21 5:39 PM,,,,,,,,,,,0,,,,,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,2|i00ei7:,,,,,,,,,,,,Kanoo Sprint 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
Export merchant_kashkard_report production,KANOO-5668,31530,Story,TEST,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,27/Jul/21 2:41 PM,28/Jul/21 11:49 AM,28/Jul/21 5:39 PM,,,,DevOps,,,,,,,0,,,"Please help to export mongoDB document merchant_kashkard_report production on the date 10am 26 July 2021.
Please copy and import that into Sandbox environment.",,User ,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,No PR,2|i00eg7:,,,,,,,,,,,,Kanoo Sprint 31 - Kanoo Team,,,,,,,,,Huy Tang,557058:4c602b42-35ce-411c-b900-8ebe293945b4,,,,,,,,,,,,,,,,,,,,,,,,,In Progress
AUT - Smoke Kanoo GDS Give Gift Card - redemption,KANOO-5667,31526,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,kiet.tran,60ab908c317edd007168c28a,Ly Le,5b102742c2fc1b1bc37ba3ef,Ly Le,5b102742c2fc1b1bc37ba3ef,27/Jul/21 10:19 AM,27/Jul/21 10:23 AM,28/Jul/21 5:39 PM,,,,Automation Test,,,,,,,0,Kanoo_Urgency_Taskforce,,"* Use the gift card for redemption
* Check the remaining amount of the gift card",,Ly Le,,,,,,,,,5b102742c2fc1b1bc37ba3ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-5553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kiet.tran,60ab908c317edd007168c28a,{},29/Jul/21 12:00 AM,KANOO-5247,,,,,,,,,,,,,2|i00dlf:,,,,,,,,,,,,Kanoo Taskforce - Sprint 1,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[Android] - Product Details - Back In Stock Notifications,KANOO-5666,31524,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,anh.nguyen.hoang,5da94264ba2c320c2c315fb6,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,27/Jul/21 10:06 AM,27/Jul/21 10:14 AM,28/Jul/21 5:39 PM,,,,,,,,,,,0,,,"* In product detail, when a product is out of stock, I want to receive notification when that product is back in stock,  display a text field to enter email and one Send button
* There is an instructive placeholder such as “Want to be notified when this product is back in stock?“
* After entering email then clicking on Notify me button, it displays successful message {color:#00b8d9}“{color}{color:#00b8d9}_You have successfully subscribed, we will inform you when this product back in stock_{color}{color:#00b8d9}“{color}
* If that email has subscribed that product, display message {color:#00b8d9}_“You have already subscribed this product“_{color}

!image-20210727-021506.png|width=1917,height=1009!",,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Jul/21 10:06 AM;557058:3c9d0205-242e-4af3-be20-9293b7a3ba27;image-20210727-021506.png;https://kardsys.atlassian.net/secure/attachment/37734/image-20210727-021506.png,,,,,,,,,,,,,,,,,,,,,,,,,{},,KANOO-4139,,,,,,,,,,,,,2|hzwwke:yqhyd,,,,,,WebApp,,,,,,Kanoo Sprint 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[iOS] Kanoo App - Product Details - Back In Stock Notifications,KANOO-5665,31523,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,anh.nguyen.hoang,5da94264ba2c320c2c315fb6,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,27/Jul/21 10:06 AM,27/Jul/21 10:14 AM,28/Jul/21 5:39 PM,,,,,,,,,,,0,,,"* In product detail, when a product is out of stock, I want to receive notification when that product is back in stock,  display a text field to enter email and one Send button
* There is an instructive placeholder such as “Want to be notified when this product is back in stock?“
* After entering email then clicking on Notify me button, it displays successful message {color:#00b8d9}“{color}{color:#00b8d9}_You have successfully subscribed, we will inform you when this product back in stock_{color}{color:#00b8d9}“{color}
* If that email has subscribed that product, display message {color:#00b8d9}_“You have already subscribed this product“_{color}

!image-20210727-021506.png|width=1917,height=1009!",,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Jul/21 10:06 AM;557058:3c9d0205-242e-4af3-be20-9293b7a3ba27;image-20210727-021506.png;https://kardsys.atlassian.net/secure/attachment/37733/image-20210727-021506.png,,,,,,,,,,,,,,,,,,,,,,,,,{},,KANOO-4139,,,,,,,,,,,,,2|hzwwke:yqhy9,,,,,,WebApp,,,,,,Kanoo Sprint 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
[Web] Kanoo - Product Details - Back In Stock Notifications,KANOO-5664,31522,Story,To Do,KANOO,Kanoo,software,Nhu Ho,557058:7a9d9191-dd75-4672-98d1-725766bcd349,,,Medium,,anh.nguyen.hoang,5da94264ba2c320c2c315fb6,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,Viet Dung,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,27/Jul/21 10:06 AM,27/Jul/21 10:14 AM,28/Jul/21 5:39 PM,,,,,,,,,,,0,,,"* In product detail, when a product is out of stock, I want to receive notification when that product is back in stock,  display a text field to enter email and one Send button
* There is an instructive placeholder such as “Want to be notified when this product is back in stock?“
* After entering email then clicking on Notify me button, it displays successful message {color:#00b8d9}“{color}{color:#00b8d9}_You have successfully subscribed, we will inform you when this product back in stock_{color}{color:#00b8d9}“{color}
* If that email has subscribed that product, display message {color:#00b8d9}_“You have already subscribed this product“_{color}

!image-20210727-021506.png|width=1917,height=1009!",,Viet Dung,,,,,,,,,557058:3c9d0205-242e-4af3-be20-9293b7a3ba27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANOO-5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Jul/21 10:06 AM;557058:3c9d0205-242e-4af3-be20-9293b7a3ba27;image-20210727-021506.png;https://kardsys.atlassian.net/secure/attachment/37732/image-20210727-021506.png,,,,,,,,,,,,,,,,,,,,,,,,,{},,KANOO-4139,,,,,,,,,,,,,2|hzwwke:yqhy,,,,,,WebApp,,,,,,Kanoo Sprint 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
