issuekey,title,description,storypoint
KANOO-5667,AUT - Smoke Kanoo GDS Give Gift Card - redemption,* Use the gift card for redemption* Check the remaining amount of the gift card,NULL
KANOO-5648,[ARM Merchant] - Transactions - View Refund History,"*Acceptance Criteria** Going to Transaction page, clicking on three dot-icon of a Credit Card transaction that has been refunded, I see an option called “Refund History“. This option only displays when there is at least one refund transaction proceeded* Selecting this displays the list of refund transactions that have been created from the original Credit Card transaction** Transaction ID** Refund Amount** Reason: Display at least 2 lines. If the length is greater than 2 lines, display ellipsis, and when hovering on I can see full text** Status** Refund DateMockup: [https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|smart-link] ",NULL
KANOO-5640,[BE] KZ Site - Guest Payment using PWK ,* Save unpaid orders and this order is the same as the unpaid orders created on KanooPOS (tablet version) by staff and then it can be paid on Kanoo app/POS.* Send order ID to PWK.* Not save an external payment transaction on PWK for this internal payment request.* Handle callback from PWK to process the next steps.** Successful payment*** Update order to be Paid*** Send order detail to the customer*** Save “Kanoo Purchase” transaction*** Show the successful screen as the current process** Failed payment*** Show the failed screen with error codes provided by PWK.**** Not enough money in the account**** Invalid credit card**** TBD,NULL
KANOO-5635,BE - Create DAL with dynamic MySQL connection for load balancing,Separate db reader instances will be provided by DevOps. BE need to modify DAL implementation to adapt to this improvement.# *Config 2 data source for writing & reading Database for all services working with MySQL.*example: [https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|smart-link] # *Write sample code* for reading & writing DatabaseRef: [https://kardsys.atlassian.net/browse/KANOO-5563|https://kardsys.atlassian.net/browse/KANOO-5563|smart-link] ,NULL
KANOO-5623,BE - Deploy a test component to Staging2 loading Transactions data from Athena,Write api test for performance on Athena.# {color:#ff5630}SDK {color}Athena{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/sdk?sql=SELECT%20SUM(amount)%20as%20totalAmount%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}# {color:#ff5630}JDBC {color}Athena{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/trans?sql=SELECT%20*%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}|*transaction_dashboard_view*| ||timestamp|BIGINT||_class|VARCHAR||processingStatus|VARCHAR||amount|DOUBLE||money|DOUBLE||couponAmount|DOUBLE||usedAmount|DOUBLE||redemptionValue|DOUBLE||externalAmount|DOUBLE||*sysfee_dashboard_view*|| |||timestamp|BIGINT||feeType|VARCHAR||feeAmount|DOUBLE||feeVat|DOUBLE|{color:#ff5630}*TEST CASES*{color}# {color:#00b8d9}Sync correct data (Old data) : {color}- Transaction: OK- SysFee: OK# {color:#00b8d9}Migrate new data:{color}- Transaction: OK ( less than 1minute).- SysFee: OK# {color:#00b8d9}Migrate new when user insert new data{color}:  OK({color:#ff5630}user’s view sometime will be confuse{color})# {color:#00b8d9}Select athena data when DMS deleting old data{color}: OK,NULL
KANOO-5616,[iOS] Kanoo POS - Set the maximum number of attempts to enter wrong passwords for 5,"After fixing [https://kardsys.atlassian.net/browse/KANOO-4099|https://kardsys.atlassian.net/browse/KANOO-4099|smart-link] , I received an official request from Kanoo that they want the maximum number of attemps to be *5.*",NULL
KANOO-5556,AUT - Load Kanoo Transactions page,"Load test for Visipay, ARM Merchant and ARM Master - Transactions pageExpect page load fully completed within 5s",NULL
KANOO-5555,AUT - Load Kanoo Visipay - Dashboard,Load test Visipay - Dashboard pageExpected page load fully completed within 5s,NULL
KANOO-5554,AUT - Load Kanoo  PWK Guest Checkout with Credit Card,Load test for PWK Guest Checkout with Credit CardExpect to have the output for limitation of PWK Guest Checkout component.,NULL
KANOO-5553,AUT - Smoke Kanoo GDS Give Gift Card,"* Login as Manager, give  gift cards for single and multiple users",NULL
KANOO-5552,AUT - Smoke Kanoo GDS Manager Management,Login as AdminCreate ManagerEdit Manager informationLogin with new created Manager,NULL
KANOO-5551,AUT - Smoke Kanoo PWK payment as login User,* Payment success with cash card* Payment success with sand dollard card* Payment fails insufficient balance for both 2 cases above.* Payment fails KYC,NULL
KANOO-5550,AUT - Smoke Kanoo PWK payment as Guest with Credit Card,* PWK* Guest Credit Card* Payment success* Payment fails insufficient balance.* Payment fails invalid CVV* Payment fails invalid expiry date* Payment fails invalid Credit Card Number,NULL
KANOO-5549,AUT - Smoke Kanoo web-app Purchasing Flow,* Login as existing user* Add item into shopping cart* Make payment* Check order amount* Check transaction history amount and fee. * Check balance,NULL
KANOO-5548,AUT - Smoke Kanoo web-app Wallet and Transfer Flow,"* Signup* Login using new signup user* Login using existing user* Check wallet balance* Transfer money, check the balance after transferring.",NULL
