Key,Issue Type,Summary,Description,Story Points,Status,Skill,Components,Epic Link,Sprint,Bug Category,Bug Root Cause,Start date,Due Date,Author,Priority,Assignee,Actual Points,Affected services,Affects versions,Approvals,Approvers,Attachment,Change completion date,Change risk,Change reason,Change start date,Change type,Clockwork Timer,Comment,Content type,Created,Creator,Developer,Development,Environment,Due date,Epic Color,Epic Name,Epic Status,Estimated Hours,Feature,Fix In Build,Fix versions,Flagged,Found in Build,Found Phase,Images,Impact,Issue color,Issue ID,Labels,Last Viewed,Linked Issues,Log Work,Mockup,Original estimate,Organizations,parent,Parent Link,Process,Progress,Project,Project Team,Publication date,Pull requests,Rank,Remaining Estimate,Report Story Points,Reporter,Request language,Request Type,Request participants,Resolution,Resolved,Restrict to,Satisfaction date,Satisfaction,Severity,Security Level,Sprint,Status Category,Status Category Changed,Status Transition,Story point estimate,Sub-tasks,Target end,Target start,Team,Team,Tester,Time Spent,Time to resolution,Time tracking,Time to first response,Updated,Votes,Work Ratio,Watchers,[CHART] Date of First Response,[CHART] Time in Status,Σ Original Estimate,Σ Progress,Σ Remaining Estimate,Σ Time Spent
KANOO-5708,Story,[BE] Investigate Performance Tuning Tips For Amazon Athena,Investigate Performance Tuning Tips For Amazon Athena,8,To Do,,,,Kanoo Taskforce - Sprint 1,,,7/29/2021,8/6/2021,,Medium,Nguyen Minh Thai,,,,,,,,,,,,,,,7/29/2021 14:21:45,Nguyen Minh Thai,Nguyen Minh Thai,{},,,,,,,,,,,,,,,,31602,Kanoo_Urgency_Taskforce,,KANOO-5244,,,,,,,,0,Kanoo,,,,2|i00etr:,,,Nguyen Minh Thai,,,,,,[field not supported],,0,,,,To Do,7/29/2021 14:21:46,,,,,,,,,,,,,7/29/2021 14:24:14,0,,1,,,,0,,
KANOO-5702,Story,[GDS] - Report - Adjust the frame of Gift images,"*Acceptance Criteria*

* The size of Gift Image is currently 64 x 64. This is square ratio so that it does not matches Gift Card/Gift Cash Card concept. The gold ratio here is
** width: 100
** height: 64
* This applies to all tabs in Report page
** Issuance
** Error/Exception
** Redemption
** Disable Gift Card
* This applies to both Gift CArd and Gift Cash Card images

!image-20210729-030108.png|width=100%!",1,To Do,,,KANOO-4585,Kanoo Sprint 31 - Worm,,,,,,Medium,Nguyen Trung Dung,,,,,,image-20210729-030108.png,,,,,,,"[~accountid:5eeb358e96b9660abf6c15b5] Please help me handle this.

CC: [~accountid:557058:27d8b1c9-b5a9-4bcc-a002-d9834fc57e78] 

Thanks;[~accountid:60d0096c624d70006969ba81] , please handle this task",,7/29/2021 9:50:19,Viet Dung,,{},,,,,,,,,S31_Milestone 1,,,,,,,31594,,,,,,,,,,,0,Kanoo,,,,2|hzx84d:,,,Viet Dung,,,,,,[field not supported],,0,,,,To Do,7/29/2021 9:50:19,,,,,,,,,,,,,7/29/2021 15:17:46,0,,2,7/29/2021 15:17:46,,,0,,
KANOO-5667,Story,AUT - Smoke Kanoo GDS Give Gift Card - redemption,"* Use the gift card for redemption
* Check the remaining amount of the gift card",5,To Do,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/29/2021,,Medium,kiet.tran,,,,,,,,,,,,,,,7/27/2021 10:19:00,Ly Le,kiet.tran,{},,,,,,,,,,,,,,,,31526,Kanoo_Urgency_Taskforce,,KANOO-5553,,,,,,,,0,Kanoo,,,,2|i00dlf:,,,Ly Le,,,,,,[field not supported],,0,,,,To Do,7/27/2021 10:19:01,,,,,,,,,,,,,7/27/2021 10:23:03,0,,1,,,,0,,
KANOO-5648,Story,[ARM Merchant] - Transactions - View Refund History,"*Acceptance Criteria*

* Going to Transaction page, clicking on three dot-icon of a Credit Card transaction that has been refunded, I see an option called “Refund History“. This option only displays when there is at least one refund transaction proceeded
* Selecting this displays the list of refund transactions that have been created from the original Credit Card transaction
** Transaction ID
** Refund Amount
** Reason: Display at least 2 lines. If the length is greater than 2 lines, display ellipsis, and when hovering on I can see full text
** Status
** Refund Date

Mockup: [https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|smart-link] ",3,Review Code,,,KANOO-4958,Kanoo Sprint 31 - Kanoo Team,,,,,,Medium,Ánh Mai,,,,,,,,,,,,,,,7/26/2021 16:54:58,Viet Dung,,{},,,,,,,,,,,,,,,,31501,,,KANOO-4887,,,,,,,,0,Kanoo,,,"[http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10737|http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10737]
[http://gitlab.tpssoft.com.vn/visikard/arm/merge_requests/4056|http://gitlab.tpssoft.com.vn/visikard/arm/merge_requests/4056]",2|i00ebj:,,,Viet Dung,,,,,,[field not supported],,0,,,,In Progress,7/27/2021 16:52:44,"341227,340670",,,,,,,,,,,,7/29/2021 11:04:46,0,,1,,,,0,,
KANOO-5640,Story,[BE] KZ Site - Guest Payment using PWK ,"* Save unpaid orders and this order is the same as the unpaid orders created on KanooPOS (tablet version) by staff and then it can be paid on Kanoo app/POS.
* Send order ID to PWK.
* Not save an external payment transaction on PWK for this internal payment request.
* Handle callback from PWK to process the next steps.
** Successful payment
*** Update order to be Paid
*** Send order detail to the customer
*** Save “Kanoo Purchase” transaction
*** Show the successful screen as the current process
** Failed payment
*** Show the failed screen with error codes provided by PWK.
**** Not enough money in the account
**** Invalid credit card
**** TBD",8,To Do,,,KANOO-5455,Kanoo Sprint 32,,,,,,High,Viet Dung,,,,,,,,,,,,,,,7/26/2021 15:02:58,Viet Dung,,{},,,,,,,,,,,,,,,,31489,,,,,,,,,,,0,Kanoo,,,,2|hzwwke:yqhzqi,,,Viet Dung,,,,,,[field not supported],,0,,,,To Do,7/26/2021 15:02:58,,,,,,,,,,,,,7/27/2021 9:33:30,0,,1,,,,0,,
KANOO-5639,Story,Setup Smoke Test for HCM-DKP-101,,2,Done,,,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,,,Medium,Vũ Đình Nhân,,,,,,,,,,,,,,,7/26/2021 14:50:26,Ly Le,,{},,,,,,,,,,,,,,,,31488,Kanoo_Urgency_Taskforce,,,10800,,,,,,,100,Kanoo,,,.,2|i00e9z:,0,,Ly Le,,,,,,[field not supported],,0,,,,Done,7/26/2021 14:51:14,"339550,339549,339548,339547,339546,339545",,,,,,,Vũ Đình Nhân,10800,,3h,,7/26/2021 14:57:53,0,,1,,,,100,0,10800
KANOO-5635,Story,BE - Create DAL with dynamic MySQL connection for load balancing,"Separate db reader instances will be provided by DevOps. BE need to modify DAL implementation to adapt to this improvement.

# *Config 2 data source for writing & reading Database for all services working with MySQL.*
example: [https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|smart-link] 
# *Write sample code* for reading & writing Database

Ref: [https://kardsys.atlassian.net/browse/KANOO-5563|https://kardsys.atlassian.net/browse/KANOO-5563|smart-link] ",13,Review Code,,,KANOO-3945,Kanoo Taskforce - Sprint 1,,,7/26/2021,7/28/2021,,Medium,Nguyen Tu Nghia,,,,,,,,,,,,,,,7/26/2021 10:58:45,Huy Tang,Nguyen Tu Nghia,{},,,,,,,,,,,,,,,,31483,Kanoo_Urgency_Taskforce,,KANOO-5354,,,,,,,,0,Kanoo,,,"[http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10569|http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10569]

[http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10727/diffs|http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10727/diffs]",2|i00e9j:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/26/2021 11:19:54,"341016,339365",,,,,,,,,,,,7/28/2021 10:47:56,0,,1,,,,0,,
KANOO-5623,Story,BE - Deploy a test component to Staging2 loading Transactions data from Athena,"Write api test for performance on Athena.

# {color:#ff5630}SDK {color}Athena

{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/sdk?sql=SELECT%20SUM(amount)%20as%20totalAmount%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \
--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}
# {color:#ff5630}JDBC {color}Athena

{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/trans?sql=SELECT%20*%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \
--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}

|*transaction_dashboard_view*| |
|timestamp|BIGINT|
|_class|VARCHAR|
|processingStatus|VARCHAR|
|amount|DOUBLE|
|money|DOUBLE|
|couponAmount|DOUBLE|
|usedAmount|DOUBLE|
|redemptionValue|DOUBLE|
|externalAmount|DOUBLE|

|*sysfee_dashboard_view*|| ||
|timestamp|BIGINT|
|feeType|VARCHAR|
|feeAmount|DOUBLE|
|feeVat|DOUBLE|

{color:#ff5630}*TEST CASES*{color}

# {color:#00b8d9}Sync correct data (Old data) : {color}
- Transaction: OK
- SysFee: OK
# {color:#00b8d9}Migrate new data:{color}
- Transaction: OK ( less than 1minute).
- SysFee: OK
# {color:#00b8d9}Migrate new when user insert new data{color}:  OK({color:#ff5630}user’s view sometime will be confuse{color})
# {color:#00b8d9}Select athena data when DMS deleting old data{color}: OK",3,TEST,,,,Kanoo Taskforce - Sprint 1,,,7/26/2021,7/27/2021,,Medium,Huy Tang,,,,,,,,,,,,,,,7/23/2021 15:59:17,Nguyen Minh Thai,Nguyen Minh Thai,{},,,,,,,,,,,,,,,,31466,Kanoo_Urgency_Taskforce,,KANOO-5244,,,,,,,,0,Kanoo,,,http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10712/diffs,2|i00e67:,,,Nguyen Minh Thai,,,,,,[field not supported],,0,,,,In Progress,7/26/2021 9:52:02,"340765,340764,340763,340762,339241",,,,,,,,,,,,7/27/2021 17:47:19,0,,1,,,,0,,
KANOO-5616,Story,[iOS] Kanoo POS - Set the maximum number of attempts to enter wrong passwords for 5,"After fixing [https://kardsys.atlassian.net/browse/KANOO-4099|https://kardsys.atlassian.net/browse/KANOO-4099|smart-link] , I received an official request from Kanoo that they want the maximum number of attemps to be *5.*",1,To Do,iOS,App - KanooPOS iOS,KANOO-3953,Kanoo Sprint 32,Existing,Existing,,,,Medium,HUNG PHAN,,,,,,,,,,,,,"[~accountid:5f211dfac9c094001c5fc901] As I remember, you did submit your commit, right? Please confirm I clone this for iOS for QC to test.

Thanks",,7/23/2021 10:52:42,Viet Dung,,{},Staging,,,,,,POS - Sign In,,,,,Development,,,,31458,Hotfix,,KANOO-4098;KANOO-4613,,,,,,,,0,Kanoo,,,http://gitlab.tpssoft.com.vn/visikard/vk-merchants-android/commit/e59a895ccae6fdb93bd2d2de63b3d10fbc965aab,2|hzwwke:yqhzu6vi,,,Viet Dung,,,,,,[field not supported],,0,,,,To Do,7/23/2021 10:52:43,,,,,,,,,,,,,7/23/2021 11:00:55,0,,1,,,,0,,
KANOO-5556,Story,AUT - Load Kanoo Transactions page,"Load test for Visipay, ARM Merchant and ARM Master - Transactions page

Expect page load fully completed within 5s",5,In Progress,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/30/2021,,Medium,Hao Tran,,,,,,,,,,,,,,,7/21/2021 10:21:05,Huy Tang,Hao Tran,{},,,,,,,,,,,,,,,,31365,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,,2|i00dlz:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/29/2021 14:22:20,341719,,,,,,,,,,,,7/29/2021 14:22:20,0,,1,,,,0,,
